Price,Location,Area,Time,Subtitle,Name
"2,100,000 ج.م",الشيخ زايد، الجيزة•منذ 5 أيام,150 SQM,منذ 5 أيام,33150 SQM,شقة 150 م في قلب الشيخ زايد تقسيط حتي 80 شهر
"2,975,000 ج.م",سراى، مدينة المستقبل•منذ 1 أسبوع,142 SQM,منذ 1 أسبوع,33142 SQM,شقة ارضي بجاردن دبل فيو 142م بكمبوند سراي Sarai القاهرة الجديدة مدينتي
"530,400 ج.مقابل للتفاوض",الشيخ زايد، الجيزة•منذ 5 أيام,170 SQM,منذ 2 أيام,33170 SQM,شقه للبيع 170م بمقدم 530،400 في مشروع بفاريا تاون في دائري المعادي
"4,300,000 ج.م",باب الشعرية، القاهرة•منذ 4 أيام,109 SQM,منذ 5 أيام,32109 SQM,شقة للبيع ارضى بحديقة 3 غرف متشطبة ذا ارديس The Address الشيخ زايد
"1,680,000 ج.م",V معادى، زهراء المعادى•منذ 3 أيام,168 SQM,منذ 4 أيام,32168 SQM,شقة 168م بابراج مريم بالظاهر تمليك للبيع باول كمبوند بوسط البلد
"1,413,470 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 5 أيام,87 SQM,منذ 3 أيام,2187 SQM,شقه 87 متر ارضي بجاردن 23 متر في زهراء المعادي داخل ميني كمبوند
"950,000 ج.مقابل للتفاوض",6 أكتوبر، الجيزة•منذ 5 أيام,109 SQM,منذ 5 أيام,21109 SQM,ارخص شقه للبيع في منطقه الأندلس التجمع الخامس
"2,000,000 ج.م",هايد بارك القاهرة الجديدة، القاهرة الجديدة - التجمع•منذ 6 أيام,200 SQM,منذ 5 أيام,33200 SQM,شقة 200م في بيت الوطن التكميلي بمقدم 20% وتقسيط 60 شهر
"4,300,000 ج.مقابل للتفاوض",الشيخ زايد، الجيزة•منذ 6 أيام,185 SQM,منذ 6 أيام,33185 SQM,اقل سعر شقه 185 في كمبوند هايد بارك استلام فورى
"2,625,000 ج.م",الباتيو اورو، القاهرة الجديدة - التجمع•منذ 3 أيام,175 SQM,منذ 6 أيام,33175 SQM,زايد إيدج شقتك 175 م باطلاله مميز بمقدم 25% تقسيط 80 شهر
"4,100,000 ج.م",مدينة الشروق، القاهرة•منذ 4 أيام,120 SQM,منذ 3 أيام,22120 SQM,شقه للبيع تطلع على مساحات خضراء و جاهزه للاستلام Patio oro
"1,115,000 ج.م",قطامية كريكس، القطامية•منذ 7 ساعات,143 SQM,منذ 4 أيام,31143 SQM,شقة للبيع في الشروق تسليم فوري و تقسيط علي سنتين 143 متر
"9,200,007 ج.م",مصر الجديدة، القاهرة•منذ 1 أسبوع,70 SQM,منذ 7 ساعات,2170 SQM,شقه للبيع في اسكان الشباب التجمع الاول
"3,050,000 ج.م",العاصمة الإدارية الجديدة، القاهرة•منذ 3 أيام,250 SQM,منذ 1 أسبوع,22250 SQM,شقة250م  للبيع في شارع بيروت مصر الجديدة بسعر مميز - BE 0118
"1,870,000 ج.م",هايد بارك القاهرة الجديدة، القاهرة الجديدة - التجمع•منذ 1 أسبوع,170 SQM,منذ 3 أيام,43170 SQM,ارخص شقه في العاصمه الاداريه امام النهر الاخضر قسط علي 10 سنوات
"6,450,000 ج.م",مدينة الشروق، القاهرة•منذ 1 أسبوع,234 SQM,منذ 1 أسبوع,33234 SQM,Hyde park new cairo دوبلكس للبيع 234 متر استلام فوري بموقع مميز في AK
"3,500,000 ج.م",سموحة، الإسكندرية•منذ 5 أيام,422 SQM,منذ 15 ساعات,43422 SQM,دوبلكس للبيع فى النرجس 6 فيلات
"1,550,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 2 أيام,182 SQM,منذ 1 أسبوع,32182 SQM,شقه للبيع في المنطقه الاولى بجوار كارفور الشروق الجديد
"3,370,000 ج.م",بيت الوطن، القاهرة الجديدة - التجمع•منذ 18 ساعات,156 SQM,منذ 5 أيام,32156 SQM,شقة للبيع 156 م سموحة (كومباوند مروج )
"4,000,000 ج.م",الهرم، الجيزة•منذ 1 أسبوع,186 SQM,منذ 2 أيام,33186 SQM,شقه ١٨٦م متشطبه جاهزه للستلام  فى الكمبوند امورادا بالتجمع  خلف ال auc
"2,645,000 ج.م",الشيخ زايد، الجيزة•منذ 1 أسبوع,171 SQM,منذ 18 ساعات,33171 SQM,شقة ارضى بحديقة للبيع 171م في بيت الوطن التجمع الخامس بمقدم661٬250ج
"700,000 ج.م",الشيخ زايد، الجيزة•منذ 3 أيام,185 SQM,منذ 1 أسبوع,32185 SQM,شقة 185م بتسهيلات حتي 36 شهر وبمقدم 700000 استلم فورا هاي سوبر لوكس
"3,015,000 ج.م",بادية بالم هيلز، 6 أكتوبر•منذ 2 أيام,75 SQM,منذ 1 أسبوع,1175 SQM,شقه 74م للبيع الشيخ زايد ديجويا Dejoya بجوار سوديك وwalk of Cairo
"1,800,000 ج.مقابل للتفاوض",البوسكو، العاصمة الإدارية الجديدة•منذ 4 أيام,175 SQM,منذ 4 أيام,32175 SQM,شقه للبيع في المقطم بالهضبه العليا
"5,960,000 ج.م",ماونتن فيو اى سيتي، القاهرة الجديدة - التجمع•منذ 1 أسبوع,175 SQM,منذ 3 أيام,34175 SQM,اي فيلاجاردن للبيع بماونتن فيو اى سيتى أكتوبرlagoon beachبالتقسيط9سنين
"1,950,000 ج.م",فاي سوديك، الشيخ زايد•منذ 3 أيام,84 SQM,منذ 2 أيام,1184 SQM,"شقة للبيع في Badya, Palm Hills - 6th f October"
"554,000 ج.م",صن كابيتال، حدائق 6 اكتوبر•منذ 1 أسبوع,182 SQM,منذ 4 أيام,32182 SQM,للبيع شقة استلام فوري في العاصمة الإدارية 182 متر 3 غرف
"4,500,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 3 أيام,170 SQM,منذ 1 أسبوع,33170 SQM,شقة 170م متشطبة بماونتن فيو اى سيتي Mountain view i city
