Price,Location,Area,Time,Subtitle,Name
"2,000,000 ج.م",6 أكتوبر، الجيزة•منذ 5 أيام,205 SQM,منذ 5 أيام,33205 SQM,شقة 205م بمقدم 20 % وتقسيط 60 شهر في بيت الوطن التكميلي
"550,000 ج.مقابل للتفاوض",المعادي، القاهرة•منذ 5 أيام,156 SQM,منذ 5 أيام,32156 SQM,بجوار كارفور المعادي و القطامية هايتس شقة 3 غرف بجاردن للبيع بالتقسيط
"483,000 ج.م",تاج سيتي، القاهرة الجديدة - التجمع•منذ 2 أيام,128 SQM,منذ 2 أيام,21128 SQM,بمقدم 483 ألف و قسط علي 8 سنوات شقة للبيع 128 م (Taj City) مدينة نصر
"5,400,000 ج.م",استر، القاهرة الجديدة - التجمع•منذ 4 أيام,122 SQM,منذ 4 أيام,22122 SQM,بنتهاوس للبيع في الجولدن سكوير التجمع الخامس
"2,400,000 ج.مقابل للتفاوض",أرابيلا بارك، القطامية•منذ 3 أيام,170 SQM,منذ 3 أيام,32170 SQM,شقة لقطة للبيع في عمارات 3/4 في التجمع الخامس
"1,669,800 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 3 أيام,138 SQM,منذ 3 أيام,32138 SQM,شقة 138م بالقرب من estmain mall فقط مقدم 500 الف
"2,365,000 ج.مقابل للتفاوض",الشيخ زايد، الجيزة•منذ 8 ساعات,215 SQM,منذ 8 ساعات,32215 SQM,بفيو رائع علي مساحات خضراء بالحي التاسع م3 امتلك شقه دور تاني روف215م.
"2,570,000 ج.م",هاب تاون، مدينة المستقبل•منذ 3 أيام,195 SQM,منذ 3 أيام,33195 SQM,شقة 195م  نص تشطيب في هابتاون حسن علام - BE 0113 Haptown
"3,001,664 ج.م",V معادى، زهراء المعادى•منذ 2 أيام,231.5 SQM,منذ 2 أيام,53231.5 SQM,شقه للبيع فى زهراء المعادى امام النادى231.5م 5غرف وتسليم فورى على54شهر
"3,387,000 ج.مقابل للتفاوض",بيفرلى هيلز، الشيخ زايد•منذ 1 أسبوع,161 SQM,منذ 1 أسبوع,33161 SQM,في بيفرلي هيلز شقه تشطيب فاخر استلام فوري في قلب الشيخ زايد Beverly
"1,800,000 ج.م",الشيخ زايد، الجيزة•منذ 5 أيام,180 SQM,منذ 5 أيام,33180 SQM,شقة 180 م في الشيخ زايد استلام فوري تقسيط حتي 30 شهر
"5,500,000 ج.م",مون فالي، القاهرة الجديدة - التجمع•منذ 6 أيام,133 SQM,منذ 6 أيام,22133 SQM,شقه 133م للبيع استلام فورى فى جالريا مون فالى التجمع الخامس Galleria
"4,750,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 1 يوم,250 SQM,منذ 1 يوم,33250 SQM,شقه للبيع التجمع الخامس البنفسج فيلات دقايق من النرجس عمارات و اللوتس
"5,250,000 ج.م",الشيخ زايد، الجيزة•منذ 11 ساعات,145 SQM,منذ 11 ساعات,33145 SQM,اقل سعر في الماركت شقه بجاردن فيو حمام سباحه|زايد الجديده\zayed
"4,500,680 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 3 أيام,195 SQM,منذ 3 أيام,33195 SQM,للبيع شقه استلام فوري في كمبوند المصراويه علي التسعين الجنوبي
"770,000 ج.مقابل للتفاوض",الساحل الشمالي، مطروح•منذ 4 أيام,146 SQM,منذ 4 أيام,32146 SQM,شقة بجاردن تشطيب كامل ف مسايا سيدي عبدالرحمن الساحل Masaya North Coast
"6,100,000 ج.م",محرّم بيك، الإسكندرية•منذ 4 أيام,202 SQM,منذ 4 أيام,33202 SQM,شقة للبيع 202م صواري (المصرية السعودية)
"11,000,000 ج.م",ميفيدا، القاهرة الجديدة - التجمع•منذ 6 أيام,200 SQM,منذ 6 أيام,33200 SQM,شقة للبيع 200م تشطيب سوبر لوكس موقع و سعر متميز بكمبوند ميفيدا Mivida
"3,030,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 1 أسبوع,202 SQM,منذ 1 أسبوع,33202 SQM,شقة للبيع بالتجمع الخامس بيت الوطن 202 متر
"350,000 ج.م",المقصد، العاصمة الإدارية الجديدة•منذ 8 ساعات,179 SQM,منذ 8 ساعات,33179 SQM,Al Maqsad استلم شقتك فورى متشطبة بمقدم 350 الف و قسط على 7 سنين فى HM
"2,300,000 ج.م",سموحة، الإسكندرية•منذ 6 أيام,139 SQM,منذ 6 أيام,31139 SQM,شقة للبيع 139 م سموحة ( شارع المقاولون العرب )
"3,750,000 ج.م",90 أفينيو، القاهرة الجديدة - التجمع•منذ 6 أيام,138 SQM,منذ 6 أيام,23138 SQM,شقة للبيع سوبر لوكس 90 افينيو 90 Avenue امام AUC جاهزة للمعاينة
"5,750,000 ج.م",ماونتن فيو هايد بارك، القاهرة الجديدة - التجمع•منذ 5 أيام,160 SQM,منذ 5 أيام,32160 SQM,شقه للبيع 3غرف تشطيب سوبر لوكس  استلام فورى  ماونتن فيو هايد بارك
"851,500 ج.م",مدينتي، القاهرة•منذ 5 أيام,116 SQM,منذ 5 أيام,32116 SQM,فرصه للتمليك بمدينتي 116م فيو جاردن
"5,000,000 ج.م",رحاب سيتي، مدينة الرحاب•منذ 9 ساعات,155 SQM,منذ 9 ساعات,33155 SQM,شقة 155 متر مربع للبيع في الرحاب بالقرب من الخدمات
"2,400,000 ج.م",الشيخ زايد، الجيزة•منذ 5 أيام,160 SQM,منذ 5 أيام,33160 SQM,زايد إيدج شقة 160 م تقسيط حتي 72 شهر اقساط متساوية
"4,470,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 6 أيام,198 SQM,منذ 6 أيام,33198 SQM,شقه استلام فوري  ١٩٨+ ٨٥ روف مقدم ١٠٪ ٣كمبوند الكا التجمع الخامس
"3,381,000 ج.م",تراس سموحة، سموحة•منذ 4 أيام,161 SQM,منذ 4 أيام,32161 SQM,شقة للبيع 161م  سموحة ( كومباوند فالوري انطونيادس )
"2,292,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 5 أيام,126 SQM,منذ 5 أيام,32126 SQM,امتلك وحدتك بشمال الرحاب شقة126 متر بمقدم30%
"720,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 2 أيام,170 SQM,منذ 2 أيام,32170 SQM,دوبلكس متشطب سمارت هوم في التجمع الخامس في تريو جاردنز Trio Gardens
"3,200,000 ج.م",مدينتي، مدينتي•منذ 3 أيام,116 SQM,منذ 3 أيام,32116 SQM,شقة116م للبيع بمدينتيmadinaty b10 دور2 بتسهيلات بجوار الخدمات بالعدادا
"750,000 ج.م",حدائق 6 اكتوبر، الجيزة•منذ 2 أيام,80 SQM,منذ 2 أيام,2180 SQM,شقة للبيع فى حدائق اكتوبر استلام فورى فى كمبوند راقى و كامل الخدمات
"3,000,000 ج.مقابل للتفاوض",الشيخ زايد، الجيزة•منذ 6 أيام,140 SQM,منذ 6 أيام,33140 SQM,شقه  للبيع ١٤٠م استلام فوري ماونتن فيو اي سيتي اكتوبر club park
"1,570,103 ج.م",جدران، زهراء المعادى•منذ 3 أيام,102 SQM,منذ 3 أيام,32102 SQM,شقه للبيع في زهراء المعادي 102 م من المالك
"13,905,000 ج.م",كايرو فستيفال سيتي، القاهرة الجديدة - التجمع•منذ 3 أيام,144 SQM,منذ 3 أيام,22144 SQM,شقة في كايرو فيستيفال سيتي للبيع متشطب بالتكييفات Cairo Festival City
"4,000,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 2 أيام,186 SQM,منذ 2 أيام,33186 SQM,شقه ١٨٦م متشطبه جاهزه للستلام  فى الكمبوند امورادا بالتجمع  خلف ال auc
"3,550,000 ج.م",بالم هيلز القاهرة الجديدة، القاهرة الجديدة - التجمع•منذ 1 يوم,150 SQM,منذ 1 يوم,22150 SQM,apartment resale installments in Palm hills new cairo
"380,000 ج.مقابل للتفاوض",تاج سيتي، القاهرة الجديدة - التجمع•منذ 2 أيام,111 SQM,منذ 2 أيام,21111 SQM,"""*بمقدم 380 الف شقة للبيع في كمبوند تاج سيتي بجوار جاردينيا مباشرة*"""
"2,930,000 ج.م",تاج سيتي، القاهرة الجديدة - التجمع•منذ 6 أيام,136 SQM,منذ 6 أيام,23136 SQM,شقة للبيع 2BRماستر ارضي بجاردن بكمبوند تاج سيتي Taj City التجمع الخامس
"180,000 ج.م",ماونتن فيو اى سيتي، القاهرة الجديدة - التجمع•منذ 14 ساعات,165 SQM,منذ 14 ساعات,33165 SQM,165م مرحلة اللاجون بالتقسيط ماونتن فيو اي سيتي
"3,979,482 ج.م",سراى، مدينة المستقبل•منذ 6 أيام,110 SQM,منذ 6 أيام,22110 SQM,Sarai - امتلك شقة110م بقسط علي 8سنين بالمستقبل سيتي بكمبوند سراي
"5,500,000 ج.م",سكاي كوندوز سوديك، القاهرة الجديدة - التجمع•منذ 12 ساعات,160 SQM,منذ 12 ساعات,23160 SQM,apartment ready to move with installment best view sky condos Villette
"1,250,000 ج.مقابل للتفاوض",العاصمة الإدارية الجديدة، القاهرة•منذ 1 يوم,270 SQM,منذ 2 ساعات,32270 SQM,فرصه اخر بنت هاوس  علي مسجدالشربتلي بالسياحية (أ)
"2,445,898 ج.م",جاليريا، القاهرة الجديدة - التجمع•منذ 1 أسبوع,151 SQM,منذ 1 يوم,33151 SQM,شقه للبيع مع بنك الاسكان والتعمير بسعر مميز جدا
"4,420,000 ج.م",ايون، 6 أكتوبر•منذ 11 دقائق,200 SQM,منذ 1 أسبوع,33200 SQM,بسعر مميز امتلك شقه 200م استلام فوري في جاليريا كمبوند
"5,630,000 ج.م",مدينتي، مدينتي•منذ 14 دقائق,67 SQM,منذ 11 دقائق,1167 SQM,استيديو للبيع استلام فورى فى ابراج ايون
"6,700,000 ج.م",مدينتي، مدينتي•منذ 43 دقائق,265 SQM,منذ 14 دقائق,44265 SQM,لقطه للبييييع 265م فيو نادي مدينتي مباشرة
"2,500,000 ج.م",مدينتي، القاهرة•منذ 57 دقائق,175 SQM,منذ 18 دقائق,41175 SQM,شقه ف الميرغني
"500,000 ج.م",مدينتي، القاهرة•منذ 1 ساعة,95 SQM,منذ 26 دقائق,2195 SQM,شقة للبيع بالمعمورة 95 م ب 500 الف
"1,650,000 ج.م",جرين سكوير، مدينة المستقبل•منذ 1 ساعة,145 SQM,منذ 26 دقائق,32145 SQM,شقه لقطه بالنزهه لدواعي السفر
"1,950,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 1 ساعة,195 SQM,منذ 35 دقائق,33195 SQM,دجله فيو المرشدي
"2,250,000 ج.م",ذا ادريس ايست، القاهرة الجديدة - التجمع•منذ 2 ساعات,65 SQM,منذ 43 دقائق,2165 SQM,ارخص شقه غرفتين نوم بمدينتي تشطيبات خاصه بسعر مميز لسرعه البيع
"7,000,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 2 ساعات,211 SQM,منذ 57 دقائق,33211 SQM,شقه للبيع 211م فيو الحزام الاخضر مدينتي في الb1
"5,420,000 ج.م",اوبرا سيتي، الشيخ زايد•منذ 2 ساعات,168 SQM,منذ 1 ساعة,33168 SQM,شقه للبيع بمدينتي ١٦٨م b8 تشطيب شركه for sale in Madinaty
"3,500,000 ج.مقابل للتفاوض",المعادي، القاهرة•منذ 2 ساعات,450 SQM,منذ 1 ساعة,65450 SQM,دوبلكس للبيع داخل كمبوند حدائق اكتوبر بجوار البوابه الرابعه
"1,200,000 ج.مقابل للتفاوض",6 أكتوبر، الجيزة•منذ 2 ساعات,135 SQM,منذ 1 ساعة,32135 SQM,شقة ببرج فخم ثلاث نواصي وشيك علي المريوطية الرئيسي
"2,750,000 ج.مقابل للتفاوض",مدينة نصر، القاهرة•منذ 3 ساعات,190 SQM,منذ 1 ساعة,32190 SQM,شقه للبيع
"630,000 ج.مقابل للتفاوض",الشيخ زايد، الجيزة•منذ 3 ساعات,90 SQM,منذ 1 ساعة,2190 SQM,شقة للبيع بالشروق
"3,050,000 ج.م",دار مصر، القاهرة الجديدة - التجمع•منذ 3 ساعات,175 SQM,منذ 1 ساعة,32175 SQM,شقه للبيع في المهندسين
"4,500,000 ج.م",مدينتي، القاهرة•منذ 3 ساعات,225 SQM,منذ 1 ساعة,43225 SQM,دوبلكس ريسيل للبيع استلام في المستقبل سيتي جرين سكوير صبور
"2,800,000 ج.م",6 أكتوبر، الجيزة•منذ 3 ساعات,195 SQM,منذ 1 ساعة,32195 SQM,شقه للبيع 195م بالبنفسج عمارات دور ارضي مرتفع متشطبه الترا سوبر لوكس
"500,000 ج.م",مدينتي، القاهرة•منذ 3 ساعات,200 SQM,منذ 1 ساعة,32200 SQM,شقة للبيع بدار السلام
"6,300,000 ج.م",مدينتي، القاهرة•منذ 3 ساعات,210 SQM,منذ 2 ساعات,34210 SQM,دوبلكس ريسيل متشطب الترا مودرن استلام فوري كمبوند ادريس ايست التجمع
"2,200,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 3 ساعات,165 SQM,منذ 2 ساعات,32165 SQM,شقه للبيع في اللوتس الجنوبية
"4,200,000 ج.م",الفردوس، 6 أكتوبر•منذ 3 ساعات,300 SQM,منذ 2 ساعات,44300 SQM,شقه 300م موقع متميز بزهراء المعادي
"1,250,000 ج.مقابل للتفاوض",الفردوس، 6 أكتوبر•منذ 3 ساعات,270 SQM,منذ 2 ساعات,32270 SQM,فرصه اخر بنت هاوس  علي مسجدالشربتلي بالسياحية (أ)
"3,200,000 ج.م",6 أكتوبر، الجيزة•منذ 4 ساعات,126 SQM,منذ 2 ساعات,21126 SQM,شقه للبيع في اوبرا سيتي 6 اكتوبر Apartment for sale in opera city
