Price,Location,Area,Time,Subtitle,Name
"3,550,000 ج.م",مدينة الرحاب، القاهرة•منذ 1 أسبوع,90 SQM,منذ 1 أسبوع,2190 SQM,شقة للبيع في الرحاب تشطيب الترا سوبر لوكس
"2,200,000 ج.م",أشرفية، القاهرة الجديدة - التجمع•منذ 6 أيام,117 SQM,منذ 6 أيام,21117 SQM,شقة للبيع في كمبوند الاشرفية تشطيب سوبر لوكس
"3,795,255 ج.م",المقصد، العاصمة الإدارية الجديدة•منذ 16 ساعات,167 SQM,منذ 16 ساعات,32167 SQM,Al Maqsad New Capital City ادفع 5 % مقدم وقسط علي 10 سنوات في  AH
"1,778,000 ج.م",V معادى، زهراء المعادى•منذ 3 أيام,125 SQM,منذ 3 أيام,32125 SQM,للبيع داخل كمبوند في زهراء المعادي 125م+77م جاردن خاص تقسيط علي 5سنوات
"5,906,444 ج.م",بادية بالم هيلز، 6 أكتوبر•منذ 3 أيام,130 SQM,منذ 3 أيام,22130 SQM,Badya شقة بقلب 6 أكتوبر بادية بالم هيلز بدون مقدم وأقساط حتى 10 سنوات
"350,000 ج.م",الشيخ زايد، الجيزة•منذ 6 أيام,126 SQM,منذ 6 أيام,32126 SQM,شقة متشطبة في صن كابيتال اكتوبر العاصمة السياحية Sun capital
"1,936,000 ج.م",زهراء المعادى، القاهرة•منذ 1 أسبوع,121 SQM,منذ 1 أسبوع,31121 SQM,شقة 121 متر للبيع امام نادي وادي دجلة - زهراء المعادي
"1,300,000 ج.م",فيليت، القاهرة الجديدة - التجمع•منذ 6 أيام,181 SQM,منذ 6 أيام,33181 SQM,Fully finished partment for sale in Sodic Villette with 10% dp
"2,338,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 5 أيام,167 SQM,منذ 5 أيام,32167 SQM,شقة للبيع 167نورث هاوس التجمع الخامس باميز ميني كمباوند
"5,950,000 ج.م",مدينة الرحاب، القاهرة•منذ 3 أيام,180 SQM,منذ 3 أيام,33180 SQM,للبيع شقه في الرحاب 180 م في منطقه الفيلات تشطيب سوبر لوكس استلام فورى
"4,720,000 ج.م",لاميرادا، القاهرة الجديدة - التجمع•منذ 2 أيام,170 SQM,منذ 2 أيام,32170 SQM,شقة 170m متشطبة لقطه بكمبوند لاميرادا التجمع الخامس lamirada
"2,821,200 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 1 أسبوع,159 SQM,منذ 1 أسبوع,33159 SQM,شقه للبيع النرجس الجديدة 159م مقدم 25% وقسط 60 شهر
"8,500,000 ج.م",ميفيدا، القاهرة الجديدة - التجمع•منذ 6 أيام,133 SQM,منذ 6 أيام,22133 SQM,Lowest price apartment 133m Mivida Boulevard - شقة في بوليفارد ميفيدا
"4,000,000 ج.مقابل للتفاوض",أبو قير، الإسكندرية•منذ 1 أسبوع,285 SQM,منذ 1 أسبوع,32285 SQM,شقه٢٨٥متر في جليم بعماره مميزه بشارع ابو قير
"7,175,000 ج.م",ميفيدا، القاهرة الجديدة - التجمع•منذ 17 ساعات,133 SQM,منذ 17 ساعات,33133 SQM,Apartment for sale in Boulevard Mivida
"550,000 ج.مقابل للتفاوض",تاج سلطان، مدينة نصر•منذ 3 أيام,111 SQM,منذ 3 أيام,22111 SQM,شقة لقطة للبيع في كمبوند تاج سيتي تكملة اقساط
"250,000 ج.م",هليوبوليس الجديدة، القاهرة•منذ 5 أيام,162 SQM,منذ 5 أيام,33162 SQM,شقه 162م ناصية بحرى بالكامل على حديقة الحى السادس
"570,000 ج.م",هايد بارك القاهرة الجديدة، القاهرة الجديدة - التجمع•منذ 11 ساعات,192 SQM,منذ 11 ساعات,33192 SQM,شقه للبيع بالمرحله الجديدة بالتجمع الخامس كمبوند هايد بارك بمقدم570الف
"2,208,000 ج.مقابل للتفاوض",6 أكتوبر، الجيزة•منذ 18 ساعات,120 SQM,منذ 18 ساعات,22120 SQM,للبيع شقه 120م كمبوند جرين 6 - مباني ادريس 6 اكتوبر باقل سعر متر ريسيل
"2,632,500 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 6 أيام,117 SQM,منذ 6 أيام,22117 SQM,شقه ١١٧م في التجمع الخامس علي طريق السويس مباشرة مقدم ١٠٪ فقط
"1,150,000 ج.مقابل للتفاوض",بالم هيلز القاهرة الجديدة، القاهرة الجديدة - التجمع•منذ 31 دقائق,70 SQM,منذ 1 يوم,2170 SQM,شقة للبيع بالتجمع الثالث أمام الجولف تصميم راقي و لمسات فندقية
"764,000 ج.م",ميفيدا، القاهرة الجديدة - التجمع•منذ 1 أسبوع,128 SQM,منذ 31 دقائق,32128 SQM,شقة 3 غرف متشطبه للبيع بالتجمع الخامس 128 م بقسط على أطول فتره
"2,750,000 ج.م",6 أكتوبر، الجيزة•منذ 4 أيام,105 SQM,منذ 1 أسبوع,11105 SQM,بالتقسيط شقة 105م موقع متميز بكمبوند ميفيدا Mivida compound
"1,300,000 ج.م",بادية بالم هيلز، 6 أكتوبر•منذ 6 أيام,130 SQM,منذ 4 أيام,32130 SQM,شقة نصف تشطيب للبيع حي تاني ومتاح ادوار مختلفة
"1,550,000 ج.م",جاليريا، القاهرة الجديدة - التجمع•منذ 4 أيام,171 SQM,منذ 6 أيام,33171 SQM,شقة فوري متشطبة الترا سوبر لوكس امام مطار سفنكس بادية سيتي Badya City
"600,000 ج.م",بالم هيلز القاهرة الجديدة، القاهرة الجديدة - التجمع•منذ 2 أيام,160 SQM,منذ 4 أيام,33160 SQM,بسعر لقطه شقه 160 م جاهزه للسكن الفورى ف كمبوند ع شارع التسعين بالتجمع
"4,000,000 ج.م",بيت الوطن، القاهرة الجديدة - التجمع•منذ 20 ساعات,150 SQM,منذ 2 أيام,23150 SQM,شقه ارضي بحديقه للبيع في بالم هيلز نيو كايرو
"1,839,500 ج.م",الشيخ زايد، الجيزة•منذ 20 ساعات,153 SQM,منذ 20 ساعات,32153 SQM,شقة 153م في بيت الوطن التجمع الخامس بمقدم 551٬850ج - استلام خلال 2024
"3,900,000 ج.م",زد ايست، القاهرة الجديدة - التجمع•منذ 1 أسبوع,215 SQM,منذ 20 ساعات,43215 SQM,شقه للبيع كمبوند جرين 5 اكتوبر خلف مول العرب215م 4 غرف نوم
"500,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 2 أيام,76 SQM,منذ 1 أسبوع,1176 SQM,شقة ريسيل بسعر مميز جدا في زيد ايست التجمع الخامس
"2,000,000 ج.م",مدينة الشروق، القاهرة•منذ 4 أيام,145 SQM,منذ 18 ساعات,32145 SQM,امتلك وحدتك السكنية متشطبة فوري بمقدم يبدأ من 300 الف
"950,000 ج.م",بادية بالم هيلز، 6 أكتوبر•منذ 21 ساعات,165 SQM,منذ 2 أيام,11165 SQM,ستويو مفروش للبيع التجمع البنفسج بالقرب من الواتر واي برايم لوكشين
"1,800,000 ج.م",سموحة، الإسكندرية•منذ 4 أيام,140 SQM,منذ 4 أيام,33140 SQM,شقة 140م للبيع بكمباوند دار مصر الشروق سوبر لوكس دور تالت خالصة الثمن
"4,762,151 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 2 أيام,175 SQM,منذ 21 ساعات,32175 SQM,للبيع شقة ارضية بحديقة كاملة التشطيب بسعر مميز/بالم هيلز - بادية Badya
"2,400,000 ج.م",حدائق 6 اكتوبر، الجيزة•منذ 21 ساعات,141 SQM,منذ 4 أيام,32141 SQM,شقة للبيع 141م سموحة -  كومباوند فالوري انطونيادس
"1,500,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 2 أيام,216 SQM,منذ 2 أيام,33216 SQM,دوبلكس مـتـشـطب سمارت هوم كموبندجاهزة للمعاينة بالتجمع الخامس
"1,400,000 ج.م",رحاب سيتي، مدينة الرحاب•منذ 17 ساعات,150 SQM,منذ 21 ساعات,32150 SQM,ارضي بحديقه 150م للبيع بحدائق اكتوبربمقدم 400ألف
"5,250,000 ج.م",فيلدج جيت، القاهرة الجديدة - التجمع•منذ 1 أسبوع,167 SQM,منذ 2 أيام,33167 SQM,للبيع شقه في هايد بارك استلام فوري
"5,000,000 ج.م",جدران، زهراء المعادى•منذ 23 ساعات,155 SQM,منذ 17 ساعات,33155 SQM,شقة 155 متر مربع للبيع في الرحاب بالقرب من الخدمات
"5,000,000 ج.م",الفردوس، 6 أكتوبر•منذ 2 أيام,146 SQM,منذ 1 أسبوع,22146 SQM,Village Gate New Cairo شقه 146 م للبيع متشطب بالكامل وبالفرش في  MA
"1,942,905 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 3 أيام,128.6 SQM,منذ 23 ساعات,31128.6 SQM,شقه تقسيط من المالك في المعادي 128.6 م
"1,850,000 ج.مقابل للتفاوض",تاج سيتي، القاهرة الجديدة - التجمع•منذ 2 أيام,180 SQM,منذ 2 أيام,32180 SQM,شقه موقع مميز داخل كمبوند الأمن العام حدائق الفردوس امام دريم لاند ا
"1,670,000 ج.م",تاج سيتي، القاهرة الجديدة - التجمع•منذ 1 أسبوع,130 SQM,منذ 3 أيام,32130 SQM,دار مصر الاندلس المرحله الثانيه دور متكرار موقع مميز
"400,000 ج.م",6 أكتوبر، الجيزة•منذ 10 دقائق,140 SQM,منذ 2 أيام,32140 SQM,شقة للبيع فى كمبوند Taj city بالتجمع الاول
"3,025,000 ج.م",مدينة بدر، القاهرة•منذ 10 دقائق,155 SQM,منذ 1 أسبوع,33155 SQM,للبيع افضل تقسيمة بكمبوند تاج سيتي Taj City التجمع شقة 3غرف تقسيط8سنين
"880,000 ج.م",مدينة بدر، القاهرة•منذ 10 دقائق,120 SQM,منذ 10 دقائق,21120 SQM,شقة لقطة لدواعى السفر 01007857476
"1,900,000 ج.م",6 أكتوبر، الجيزة•منذ 10 دقائق,190 SQM,منذ 10 دقائق,32190 SQM,شقi للبيع من المالك   الحي الثاني  ٦ اكتوبر
"720,000 ج.م",مدينة بدر، القاهرة•منذ 10 دقائق,145 SQM,منذ 10 دقائق,32145 SQM,شقه للبييع بالحى المتميز 4/3 تشطيب تانىى نمره من  الحزام  سعر محروق
"770,000 ج.م",مدينتي، مدينتي•منذ 10 دقائق,165 SQM,منذ 10 دقائق,32165 SQM,شقه للبيع بالحى المتميز عللى  جاردن فى المنطقه  5  قرريبه  لمول مصر
"1,800,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 13 دقائق,180 SQM,منذ 10 دقائق,42180 SQM,شقه بالحي الخامس منطقه الفلل
"850,000 ج.م",مدينتي، مدينتي•منذ 23 دقائق,135 SQM,منذ 10 دقائق,31135 SQM,شقه للبيع علي شارع السنترال الرئيسي امام منطقه النوادي مباشر
"1,300,000 ج.م",مدينة بدر، القاهرة•منذ 27 دقائق,100 SQM,منذ 10 دقائق,21100 SQM,شقه ١٠٠ م للبيع محور المحمودية  بالاتحادية بجوار انطونياديس وفالوري
"3,100,000 ج.م",مدينتي، مدينتي•منذ 28 دقائق,96 SQM,منذ 10 دقائق,2296 SQM,شقه 96 متر للبيع في مدينتي  بالمرحله السابعه B7
"650,000 ج.مقابل للتفاوض",مدينتي، مدينتي•منذ 31 دقائق,120 SQM,منذ 10 دقائق,21120 SQM,فرصة لدواعي السفر
"290,000 ج.م",المندرة، الإسكندرية•منذ 44 دقائق,90 SQM,منذ 10 دقائق,1190 SQM,شقة مميزة بحرية بالعجمي زهراء الهانوڤيل ٩٠ متر
"4,050,000 ج.م",مدينة بدر، القاهرة•منذ 45 دقائق,170 SQM,منذ 13 دقائق,33170 SQM,Amazing apartment for sale in Mountain View I-city
"4,100,000 ج.م",جوار، الشيخ زايد•منذ 49 دقائق,140 SQM,منذ 23 دقائق,32140 SQM,شقه 140 م للبيع في مدينتي بالمرحله العاشره B10
"720,000 ج.م",رشدي، الإسكندرية•منذ 50 دقائق,140 SQM,منذ 27 دقائق,32140 SQM,شقه للبيع بمدينه بدر بالحي المتميز علي الفاصل
"3,400,000 ج.م",سراى، مدينة المستقبل•منذ 2 ساعات,124 SQM,منذ 28 دقائق,32124 SQM,شقه 124 متر للبيع في مدينتي  بالمرحله السادسه B6
"3,000,000 ج.مقابل للتفاوض",بالم هيلز القاهرة الجديدة، القاهرة الجديدة - التجمع•منذ 2 ساعات,96 SQM,منذ 31 دقائق,2296 SQM,شقه للبيع 96 م في مدينتي بالمرحله السابعه B7  تشطيب الترا سوبر لوكس
"3,600,000 ج.م",بورتو نيو كايرو، القاهرة الجديدة - التجمع•منذ 2 ساعات,170 SQM,منذ 33 دقائق,33170 SQM,تشطيب فاخر شقه للبيع في الخمايل امام هايبر وان مرحله 3دبل فيس 170م
"9,500,000 ج.م",الباتيو اورو، القاهرة الجديدة - التجمع•منذ 3 ساعات,620 SQM,منذ 44 دقائق,44620 SQM,دوبلكس للبيع 620 م المندره - اول صف على البحر
"750,000 ج.م",مدينة الرحاب، القاهرة•منذ 3 ساعات,110 SQM,منذ 45 دقائق,32110 SQM,شقه للبيع بمدينه بدر بالحي الاول مجاوره 4
"5,800,000 ج.م",مدينة الرحاب، القاهرة•منذ 6 ساعات,220 SQM,منذ 49 دقائق,33220 SQM,شقة 220م للبيع بسعر مميز في جوار الشيخ زايد - Jewar Elshiekh Zayed
"3,100,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 7 ساعات,271 SQM,منذ 50 دقائق,32271 SQM,شقة للبيع 271 م رشدي
"1,250,000 ج.مقابل للتفاوض",مدينتي، القاهرة•منذ 7 ساعات,120 SQM,منذ 1 ساعة,31120 SQM,شقه للبيع في كمبوند جاردينيا
"230,000 ج.م",مدينتي، مدينتي•منذ 7 ساعات,90 SQM,منذ 2 ساعات,3190 SQM,للبيع شقة تحفة بالرحاب أسيوط الجديدة
"3,150,000 ج.م",مدينتي، القاهرة•منذ 7 ساعات,129 SQM,منذ 2 ساعات,32129 SQM,Amazing apartment at sarai
"5,125,000 ج.م",ايون، 6 أكتوبر•منذ 8 ساعات,183 SQM,منذ 2 ساعات,32183 SQM,Palm hills new cairo  _التجمع الخامس
"5,125,000 ج.م",مدينتي، مدينتي•منذ 8 ساعات,145 SQM,منذ 2 ساعات,23145 SQM,Porto new cairo BUPLEX for sale fully furnished -التجمع الخامس
"1,500,000 ج.م",مدينتي، مدينتي•منذ 8 ساعات,125 SQM,منذ 2 ساعات,21125 SQM,شقة للبيع بسيدي بشر بحري
"2,850,000 ج.مقابل للتفاوض",مدينتي، القاهرة•منذ 9 ساعات,156 SQM,منذ 2 ساعات,42156 SQM,بنتهاوس للبيع كمبوند رحاب اكتوبر ستي حدايق اكتوبر
"1,750,000 ج.مقابل للتفاوض",مدينتي، القاهرة•منذ 9 ساعات,146 SQM,منذ 3 ساعات,31146 SQM,شقه بالسيوف شماعه علي الشارع العمومي ١٤٦ متر ٣ غرف و ريسيبشن ٣ قطع و م
"90,000 ج.م",جرين سكوير، مدينة المستقبل•منذ 9 ساعات,145 SQM,منذ 3 ساعات,31145 SQM,للبيع شقة  في اكتوبر الحي الخامس عقد اول ١٤٠م سوبر لوكس
"7,500,000 ج.م",القاهرة الجديدة - التجمع، القاهرة•منذ 9 ساعات,230 SQM,منذ 3 ساعات,43230 SQM,اقل من سعر السوق شقه ف الباتيو اورو استلام فوري اكبر مساحه ٢٣٠متر
"6,600,000 ج.مقابل للتفاوض",ذا ادريس ايست، القاهرة الجديدة - التجمع•منذ 9 ساعات,183 SQM,منذ 3 ساعات,33183 SQM,شقه للبيع بالرحاب ٢ بالقرب من السوق الشرقي
"850,000 ج.مقابل للتفاوض",القاهرة الجديدة - التجمع، القاهرة•منذ 9 ساعات,120 SQM,منذ 3 ساعات,21120 SQM,تشطيب الترا سوبر لوكس ١٢٠م جاهزة للسكن فورًا
"3,100,000 ج.مقابل للتفاوض",اوبرا سيتي، الشيخ زايد•منذ 10 ساعات,195 SQM,منذ 3 ساعات,33195 SQM,للبيع أو للبدل بشقة في التجمع أو مدينتي
"3,500,000 ج.مقابل للتفاوض",المعادي، القاهرة•منذ 10 ساعات,89 SQM,منذ 6 ساعات,2289 SQM,امتلك النموذج النادر والمطلوب مدينه الرحاب
"2,000,000 ج.م",6 أكتوبر، الجيزة•منذ 10 ساعات,200 SQM,منذ 7 ساعات,32200 SQM,شقه للبيع في جاردينا التجمع الخامس
"3,800,000 ج.مقابل للتفاوض",مدينة نصر، القاهرة•منذ 10 ساعات,133 SQM,منذ 7 ساعات,32133 SQM,133متر تشطيب سوبر لوكس مدينتي المعاينة اي وقت
"4,500,000 ج.م",الشيخ زايد، الجيزة•منذ 11 ساعات,165 SQM,منذ 7 ساعات,33165 SQM,فقط وحصري 165م بي10 فيو جاردن ووايد جاردن
